用户,评论内容,点赞数,评论时间,观点分类
yelo小熊,安全是最大的豪华，所以我家是老轱辘棒子美系车[打call]新能源不敢买，脆皮日系更不考虑，沃尔沃有点贵,0,2025-10-16 21:37:58,反对
風自海上来,油车用百年时间、无数血的教训总结出来经验，不是所谓新势力造车所能比的。,0,2025-10-16 21:26:10,支持
小米教天下第一,BV1QQ4BzLEb7[呲牙],0,2025-10-16 21:15:14,中立
碧幽,我开的五菱星光，门把手就是半隐藏的机械门把手，和五菱宏光的门把手一样[笑哭],0,2025-10-16 21:07:44,支持
年年只痒,群里看过照片，都烧干了，脑花都出来了[无语],0,2025-10-16 21:07:34,中立
Marvin_0831,车门 气囊 车窗 电池 全是笑死人,0,2025-10-16 20:53:47,反对
晦气用什么去,可以同时关注9月份的事件，疑点重重，可以查查看或者看动态,0,2025-10-16 20:42:18,支持
milliongogo,现在做个视频不容易啊，3句话里得叠2句话的甲，稍不小心就被告，UP太难了[喜极而泣],0,2025-10-16 20:28:52,反对
海员1976,生死看淡，不服就干,0,2025-10-16 20:12:43,中立
云杉杉杉杉杉,所以家里有两个会开车的真的很重要，我学车我爸是最开心的，过年聚会免不了喝酒，农村还没有代驾，真的不要心存侥幸，农村喝酒开车尤其是重灾区，北方的冬天路面再有个雪真的很容易出事,0,2025-10-16 20:07:22,支持
梆硬哥GOD,新能源车…不敢说。只能说现在尽量先别买，起码家里没有油车的首辆车别买，真的。首先现在的新能源车太不成熟，首先稍微远一点的出行400公里左右的出行很麻烦，油车越高速越省油，电车越费油标600公里的跑高速开空调很多只有四百多公里，再加上充电很慢，服务区充电万一几个桩子满了你排是不排。还有就是北方冬天的续航问题，车子太重开起来的操控问题，电池容易起火的安全问题都是现阶段不好解决的。不是说我不支持新能源，是现在的新能源不够成熟，固态电池快出了等一下吧，再就是汽车厂商问题我知道现在国产新能源发展很快，我们三电系统超车了外国内燃机，但是别忘了车子不是只有发动机变速箱，还有最后一个大件底盘，新能源的车出的太快了，没有那么快速的时间调教底盘避震悬挂，加速又那么快操控肯定是不够的，再加上咱们车企就拿问界来说吧，最顶级的新能源国产电车，它的底子是什东风小康啊！车企是没有丝毫优势的唯一的优势是跟华为的合作，但是想想哪吒想想很多车企，是！因为很多车企原来是负债才倒闭，但是新能源的竞争刚刚开始而已以后谁好谁坏啊？大几十万买个车开5-10年很正常吧，这不是玩具。现在奥迪已经跟华为合作了，以后宝马奔驰路虎什么各种品牌呢？一旦这些百年车企都合作了，那么国产车企的优势还有那么大吗？现在买的品牌几年后会怎样？再就是现在智驾不成熟很多地方还有各种问题需要人接管，l3马上也要出了，这个时候买不亏吗？到时候能不能升级？需不需要新的芯片支持？别忘了l3开始出事车企才赔付，现在智驾出了问题是个人承担！真这么急吗？而且现在电车得很多功能油车不是没有，相对性价比确实比较低而已，但是你想想当年10万的国产车配置一样是比15甚至20万的合资或者进口车好的。我知道说这个很多人会骂我，但是我个人还是觉得应该再等等真的。,0,2025-10-16 19:57:06,支持
李白川三,只会der,0,2025-10-16 19:45:16,中立
小羊comex,通报里说涉嫌是因为已经无法取证了，不要小看警方的刑事调查水平。,0,2025-10-16 19:28:06,支持
KBC空洞中一颗星,在马力过剩的电机时代下，我个人对安全的关注反而更胜一筹,0,2025-10-16 19:07:18,支持
李默然_up,最后一der,0,2025-10-16 18:56:31,中立
1火,客观，爱听，真的不占队，等官方通报，比最近一堆带情绪带节奏的好多了[笑哭],0,2025-10-16 18:53:30,支持
是官不是管不是关,很担心你账号,0,2025-10-16 18:51:48,中立
1358746321,机械把手比电子的贵，这也能解释为啥都分分上马电子的,0,2025-10-16 18:49:52,支持
1358746321,【小米SU7车祸真相如何-哔哩哔哩】 https://b23.tv/Mwby9M4,0,2025-10-16 18:45:42,支持
负绊,应该所有车检测到碰撞和损坏就自动解锁，一拉就开,0,2025-10-16 18:31:54,支持
KevinBale,看到过一个被撞，司机卡在门里，活活烧死的，撕心裂肺的惨叫，这种死法太惨了,0,2025-10-16 18:31:41,支持
wjz841103,小米的超强钢部门和车门锁部门在左右互搏,0,2025-10-16 18:18:42,支持
堂吉诃德_bili,真想买电车，就只能买磷酸铁锂，除非不怕活体火葬。,0,2025-10-16 17:26:57,反对
嗡啊万揽含砍步入姆,夜梦安乐,0,2025-10-16 17:10:35,中立
hylbati8,门把手都没有，这车好看是好看，但是真出了事怎么办？,0,2025-10-16 17:11:04,支持
哔了豆豆,现在的车很多侧窗也是夹胶玻璃，破窗锤也不行,0,2025-10-16 16:59:33,支持
叶瑾岫,这种赛车式可以跑市区吗？,0,2025-10-16 16:22:51,中立
长剑1000巡航导弹,ctb人与电池更近一步技术、风味外把手人离不开电技术,0,2025-10-16 16:19:11,反对
sadaharu_sama,安全警示教育片《死神来了》告知我们，所有的事故的源头都是人[吃瓜],0,2025-10-16 15:37:34,支持
养猪小工,顶,0,2025-10-16 15:30:21,中立
沙赫纳美,胖子，你吼那么大声干嘛？[喜极而泣],0,2025-10-16 15:28:22,中立
T丶BIU,请描述用户画像。,0,2025-10-16 15:19:06,中立
不懂工作室,200公里撞击后门打不开有啥好吵的[笑哭] m7那次才多少码就切断了，假如说切断也很合理吧,0,2025-10-16 15:09:28,支持
西伯利亚狼-999,小米空调自燃了，喝酒了？,0,2025-10-16 14:30:58,支持
人在天顶星刚下歼星舰,信传志 🉐永生！ [OK][OK],0,2025-10-16 14:21:58,中立
离别之朝束上约定之花,汽车是个技术含量很高的东西，一个公司成立不到三年开发的车你敢买那真是把自己安全全部放弃了,0,2025-10-16 14:06:15,支持
一瓶小芬达_,最可笑的是，小米是双层玻璃，他家买的唯一的破窗器是只能破单层的[doge_金箍],0,2025-10-16 14:02:50,支持
张元宵她爹,这个事情肯定是不了了之,0,2025-10-16 14:01:57,中立
校门口卖水的隔壁老王,米粉烧成骨灰粉了[doge],0,2025-10-16 14:01:16,支持
Zephyr-7777,[doge],0,2025-10-16 13:57:27,中立
上一次6级,[doge]最起码没害别人，,0,2025-10-16 13:53:55,中立
雷州靓仔,吉利！宝们,0,2025-10-16 13:52:48,中立
勺勺好了吧,直接把撞车撞的很血腥的那些东西拍出视频给这些超速车的人看，我觉得都好一点,0,2025-10-16 13:41:09,支持
骑大姑拔大姨,@6Cylinder,0,2025-10-16 13:28:42,中立
永不停息的疯狂梦想,一起喝酒的悲催了,0,2025-10-16 13:23:57,支持
不愿低头的陌生人,机械式不一定是最好的，但一定是最后一道保险，安全无儿戏。,0,2025-10-16 13:22:20,反对
别后的星期天,其实我一直认为如果安全是用户购车和企业研发在意的第一位的话，那么沃尔沃就应该是豪车品牌里的销量No.1，可事实上它不是。车辆是否安全说白了，普通民众对其的概念非常模糊，比如燃油车时代看车皮啥的，都是非常可笑的做法。而且安全问题的暴露隐藏得很深，本身出事故就是小概率事件，导致用户感受样本小，碰撞的情况复杂，导致用户感受容易失真，而且这些体验也很不容易反馈到大众，而热点事件的焦点很容易被大企业左右，无法真实反馈安全问题。我是希望在国家转向新能源赛道的契机，能让普通民众和企业更多关注安全问题，提升整个行业的安全水准。,0,2025-10-16 13:19:42,支持
地球观星者,喝酒甩尾能救回来这真是喝酒了吗？,0,2025-10-16 13:10:12,支持
愤怒得白菜,人的不安全行为，物的不安全状态[笑哭],0,2025-10-16 13:01:21,反对
山泉小溪,油车撞击后会5分钟内烧吗？,0,2025-10-16 12:58:23,中立
小小夏吖,这门把手蛮力拽都使不上劲,0,2025-10-16 12:55:07,反对
是读不来书不是不读书,这个速度换机械结构也打不开啊,0,2025-10-16 12:52:42,反对
每天饿二顿,喊什么。吓一跳,0,2025-10-16 12:50:07,中立
我在吃烤鱼丶,还好没撞到别人。,0,2025-10-16 12:48:48,中立
萌尼玛蛋,我在想老a6得那种不也是半隐藏式的门把手么？还是机械结构的为啥现在车不用呢[脸红],0,2025-10-16 12:45:22,支持
我在北海不牧羊,但凡多说一句，这可能就是超哥的最后一期了😂,0,2025-10-16 12:43:45,支持
若水三千只取三千瓢,不买电动,0,2025-10-16 12:38:00,中立
langjitianya6,这就是为什么越来越多的人，买特斯拉的原因，安全才是最大的豪华[doge],0,2025-10-16 12:35:31,支持
WG202,车灾人祸,0,2025-10-16 12:33:15,中立
离别亦是长逝,我有一个思路：我觉得车和人都没问题，这样一个人开着这样一个车，会给其他交通参与者带来多大的隐患啊，这次这样一个车烧死了这样一个人，没有导致其他人和财产的损失，这简直是最完美的结局，不知道你们都在争论什么,0,2025-10-16 12:31:31,支持
丨高贵的名门丨,我挺好奇的，它撞击时的速度不低吧？安全气囊一个没爆？,0,2025-10-16 12:31:15,支持
晴上左卫门,喜欢小米，用小米牌，小米陪，这辈子值了[doge_金箍],0,2025-10-16 12:30:31,支持
没油的台灯,超哥三观极其正，说的非常好,0,2025-10-16 12:16:59,支持
bili_517487059,车的问题,0,2025-10-16 12:13:47,支持
玉砚金盏碾碎银,喜欢快，那就受着,0,2025-10-16 12:07:38,支持
天空的蚕,小米≠所有电车，华为，比亚迪，蔚来，小鹏等车都很安全啊,0,2025-10-16 12:06:09,支持
-质疑理解成为超越,喝酒开车这个事是真的蠢，交警查到丢工作丢钱，撞车直接全责保险不赔，撞人直接全责保险不赔，找代驾就当花钱给自己买个保险呗，花不了几个,0,2025-10-16 12:05:51,反对
大夢有春秋,他都开小米了，我还救他干嘛。。。 信仰不同，选择不同，自负盈亏。 现在觉得ES200是真不错，慢慢悠悠的也挺好。还在纠结VOLVO,0,2025-10-16 12:03:16,支持
近水毒鱼,速度是一种信仰,0,2025-10-16 12:00:49,中立
我是lv22,帅死的,0,2025-10-16 12:00:28,支持
going-wo,喝酒别开车，尤其是别开小米,0,2025-10-16 11:54:10,支持
羽涅三月,以前还想买电车或者混动，现在觉得还是油车吧,0,2025-10-16 11:44:43,反对
winkヅ,我觉得车门打不开车子就是有问题。小白问一下。同样情况下，机械门把手可以打开不？或者其他电车企的车门能打开不。,0,2025-10-16 11:40:48,中立
楪舞纷飞祈愿想随,转发其他评论 大家看，我手中这根火柴，你把它倒着烧哎卧槽[doge_金箍],0,2025-10-16 11:40:48,反对
环球梦游日记,半隐藏式机械门把手就蛮好的，兼顾美观与实用,0,2025-10-16 11:38:48,支持
B站最会读书的人,酒被烧后不就烧着了吗，怎么测出来有酒精的,0,2025-10-16 11:32:52,支持
正义为尔,不如给电池不烧的国标 5年内造出好电池,0,2025-10-16 11:32:03,支持
正义为尔,门关了肯定开不了啊 只能从里面开,0,2025-10-16 11:31:03,反对
镇魔师,真的别喝酒开车，我之前刚毕业，应酬多，凌晨 4 点喝完酒开车在立交桥睡着了，还好速度不快，只是副驾驶那边轻微的撞上了护栏，没掉下立交桥[笑哭]我当时立马惊醒,0,2025-10-16 11:30:12,支持
启濠,哥你中气太足，能不能不这么大声,0,2025-10-16 11:16:14,中立
我真的是张怀民,看完了 车是其次 这个人敢这么做就算开坦克也有一天会出事 车有问题但是主要是人有问题 大家开车一定要遵纪守法不要侥幸心理,0,2025-10-16 11:17:12,支持
_最佳歌手_,聊城酒驾咋说[吃瓜]都不想说你,0,2025-10-16 11:13:35,支持
bili_38477568679,涂磊，你胖了,0,2025-10-16 11:13:06,中立
王子在城堡,还好我买的车是机械把手，没那么高贵,0,2025-10-16 11:06:03,支持
耄耋鉴赏家,大家把目光都看向了段正淳,0,2025-10-16 11:00:49,反对
大弯坸,一般人就开不了这么快的车，换别的跑车跑这么快估计也得暴毙,0,2025-10-16 10:59:48,支持
SILVERVC,突然好奇，这不逻辑闭环不了啊，你车门变形打不开，那得是撞击变形吧，那气囊咋不爆啊，你说没到弹气囊条件，那电池怎么碰撞起火的啊[吃瓜][吃瓜][吃瓜],0,2025-10-16 11:00:56,反对
加油鸭努力坚持,门是明显问题 但是气囊呢，传说中的160速度撞击呢,0,2025-10-16 10:37:31,支持
赌酒,用户画像这一块,0,2025-10-16 10:36:36,中立
崩坏三第一偶像荧,别说了，再说我就看不到超哥了[大哭],0,2025-10-16 10:17:15,中立
专业寄术,没标准为啥要多花钱,0,2025-10-16 10:11:40,支持
五里坡剑圣,车辆应该延续熄火断电自动开门的这个程序，没电液压杆自动弹回，只有钥匙操作才能锁死车门[藏狐],0,2025-10-16 10:11:42,支持
苒嘉本冲,小米法务要来了[doge_金箍][doge_金箍][doge_金箍],0,2025-10-16 10:05:47,支持
暂无下文crazy,酒驾认定这个肯定是调取了车主开车之前的监控,0,2025-10-16 10:04:17,支持
bili_1159597396,你们说无机盐还能找到吗？估计就只能立个衣冠冢了[捂脸],0,2025-10-16 09:55:27,中立
擒贼先擒王先生他哥,因为华为花钱了，所以门打不开[doge][doge][doge],0,2025-10-16 09:51:56,反对
现炒现卖呀,总结：主要问题就两方面，1车主酒驾超速起飞，2米车电池自燃门把手缺陷sos到底有没报警。那些无脑喷到底是什么成分，https://b23.tv/BV1Pf41zREuE 这视频很清楚了，超速后车右边撞到什么直接起飞到左边了，这叫力度不大？然后起火的时候也明显右边火势大先烧起来的，可能是右边底盘电池出问题了，这些都说明车右侧才是受损最严重的，可是全网都主要传车左侧视角，只有一些车头的图片才能开到右车头明显受损的。然后好巧不巧翔翔之前的视频里证实了，米车那个安全备用电池在副驾车头附近的位置，这速度力度大概率出问题了，再加上这车门把手缺陷，打不开了。所以这事就2方面，车主酒驾超速受到惩罚了，米车问题大，电池自燃门把手缺陷sos呼叫能不能保证，一定要及时解决而不是再次推卸责任含糊其辞。米车确实该喷，不喷没热度就不改，喷了也不一定改，还会压热度[笑哭][笑哭]。,0,2025-10-16 09:29:08,支持
天河青年,所有的车都有这个功能——碰撞后在车辆断电前自动解锁，这个功能一般是小电瓶起作用。一般的车车门外有机械结构，绝大部分的隐藏式门把手的电车也是能拉开的（紧急解锁后电控已失效），小米的车门外侧没有机械结构，因此断电后哪怕已经解锁了，也拉不开，在这一点上，它的安全性落后于所有车。,0,2025-10-16 09:23:37,支持
赵古禾,是最近那个司机撞死8个高三学生的车祸吗？,0,2025-10-16 09:14:11,支持
冒牌天神lyle,特斯拉这点好，只有机械把手,0,2025-10-16 09:08:56,反对
重生的doro日常,【可以帮一下受伤退伍老兵吗-哔哩哔哩】 https://b23.tv/UEnZske可以帮帮我吗,0,2025-10-16 09:08:48,中立
浩权哈哈哈,雷军造车的时候千算万算，就是没算到，不要命的人这么多,0,2025-10-16 09:04:38,支持
Presley-L,没事儿，出没出事儿都是小米问题[滑稽] 未来大家自行车被撞了，记得找自行车厂商赔偿[doge],0,2025-10-16 08:51:04,支持
银河135,监管部门为什么不出台对车辆的最高限速标准？！,0,2025-10-16 08:40:24,中立
学疯xiao徐,说不定人家过弯打滑的时候心想：这才是驾驶的乐趣[doge],0,2025-10-16 08:32:59,支持
MissLova5oo,超哥这次投币了[支持][支持],0,2025-10-16 08:24:05,中立
小毛驴苏离,家里的门锁是小米的 唤醒密码输入界面的提示音 会时不时的响一下 很诡异[笑哭],0,2025-10-16 07:47:24,支持
碧天伴走,机械风味门把手,0,2025-10-16 07:24:31,反对
黑灬涩,骨灰级发烧友,0,2025-10-16 07:27:34,反对
Ref_rain_1110,车门安全冗余那家倒闭了[脸红],0,2025-10-16 07:11:36,反对
哈哈闻叶,没有石头🪨吗？,0,2025-10-16 06:51:56,中立
暴食神言渊,防风打火机，只防风，不防人,0,2025-10-16 06:51:00,中立
找不到方向的北,拍案惊奇第二期！[吃瓜],0,2025-10-16 06:45:07,中立
闪烁铭二,有个疑问，就那个速度，10w内的日产车都跑不出来。如果跑出来了，估计有什么气囊也白搭了。直接成压缩饼干啦。个人觉得酒后驾车死不足惜！当然车的问题也要查呀！谁也不想大街上跑一个不定时炸弹。,0,2025-10-16 06:37:38,支持
法式烤冷面,1、真心希望主播不要把GB读成“击毙”了，因为那是汉语拼音字头不是英文缩写； 2、当地有人说事故车是普通SU7改装的仿SU7Ultra，不知真假； 3、因为挖孔风波，苏七优已经被干成苏七折，再有这次米冲高又赢在未来了。,0,2025-10-16 06:24:40,支持
国服第一曹髦,懂了，出了车祸一定是人的问题。[吃瓜],0,2025-10-16 05:45:35,支持
张一昂丶,感谢雷军，不害老百姓。不坑穷人。,0,2025-10-16 04:59:02,中立
Polaris_lodestar,新能源就别买了，现在保险年年涨，这些垃圾车事故率太高了。,0,2025-10-16 04:49:47,反对
告别过去之后,"性价比,闭眼买",0,2025-10-16 04:36:35,反对
EGK丶,改行做烤箱吧,0,2025-10-16 04:01:33,中立
战力爆表布布汪,这也没等五分钟啊，撞了直接开烧了,0,2025-10-16 03:39:52,支持
忆千宵,有保险,0,2025-10-16 03:39:35,支持
-STOVE,刹车真好。 车内保温也很好。 驾驶员睡眠也很好 这就是一辆好车啊，赞叹。,0,2025-10-16 03:00:45,支持
不想先生失去工作吧,[嗑瓜子]有小米车主发视频，买的那个破窗手电筒放槽里扣不出来,0,2025-10-16 02:51:27,支持
脏脏涛,救人的人叫龙武是大冰小屋的歌手,0,2025-10-16 02:44:13,支持
怀民你睡了嘛,呜呜呜，我的sl03就是这种隐藏式门把手,0,2025-10-16 02:18:14,支持
延陵楼山先生,好多没头像的,0,2025-10-16 01:14:23,支持
白泥方尺子,沃尔沃永远的神好吧,0,2025-10-16 00:58:04,支持
大佬大佬666啊,最后一期[喜极而泣],0,2025-10-16 00:42:56,中立
老村长的,什么时候装上机械把手改名小米SU9,0,2025-10-16 00:41:03,中立
咱就一疯子,年纪越大，车越开越慢,0,2025-10-16 00:30:16,反对
莱茵瓶中的鱼,比亚迪车主表示没压力，机械门把手[doge],0,2025-10-16 00:19:32,支持
炒盐,[笑哭],0,2025-10-16 00:18:04,中立
凌晨三点零四,就不能研发酒精检测系统吗，上车吹一口酒精测量车辆才解锁！ 类似疲劳驾驶提醒～还得行驶实时监控驾驶位酒精度避免换位置钻空子！（强制安装，敢改装就存在主观故意加重判罚）,0,2025-10-15 23:57:21,支持
重黎默运,下一条我想看美女,0,2025-10-15 23:58:22,中立
请别问我名字,人是喝酒喝死的[doge]上这个表情不对，但是…,0,2025-10-15 23:50:54,中立
白阳圭明,这下成骨灰级粉丝了,0,2025-10-15 23:40:12,反对
舞者黑子,兄弟，说的有道理。,0,2025-10-15 23:33:59,支持
螃蟹抡大螯,说一千道一万要关注车子安全问题～不过还是喜欢油车～[滑稽],0,2025-10-15 23:30:23,支持
重峰之上,[跪了],0,2025-10-15 23:24:01,中立
異世界勤緒,安全是最大的豪华，那极星的销量有没有机会涨一涨？,0,2025-10-15 23:14:54,支持
GZH0087,有钱卖贵车，不舍得叫代驾,0,2025-10-15 23:08:50,反对
星空图都可以,机械开关,0,2025-10-15 22:22:03,反对
举个o栗子,这里就不得不不提一下比亚迪汉了。2020年的车，算是第一批用隐藏式门把手设计的车了把，但其实它是机械式的，就算它缩在里面，你按前面，把手屁股会翘出来，可以直接拉开,0,2025-10-15 22:12:05,支持
醉生梦死的嫂子,车把手一定要能开门啊,0,2025-10-15 22:09:29,支持
专业眼球按摩,我相信再过几年电车的安全隐患问题会得到解决[支持][支持],0,2025-10-15 22:05:26,支持
丶醉梦仙霖丶,夸抽会安全点吗,0,2025-10-15 21:58:12,反对
笔尖De落寞,新国标电动自行车专家说了都该限速25码，新能源汽车为了安全起见，限速就行了啊，超过30码就电子限速，超速就滴滴滴[tv_doge]就没这么多事儿[tv_doge],0,2025-10-15 21:35:30,支持
ibrucekong,又发一遍？早上看过一次了[惊讶],0,2025-10-15 21:26:14,中立
皓月雪亲王,参考电梯。懂得都懂,0,2025-10-15 21:03:47,中立
羽沫瞳丶,不超速做到这一点都已经超过一半司机了。,0,2025-10-15 21:00:37,反对
Deleuze丶,不买电车就好了[笑哭],0,2025-10-15 20:56:58,支持
嘎嘎嘎大肥鸭,感谢der哥发声,0,2025-10-15 20:56:49,中立
洋流_yangliu,问界！,0,2025-10-15 20:55:45,中立
青春不在呀,我突然想到了某个弱智的零重力座椅[doge_金箍]准备起飞,0,2025-10-15 20:42:50,支持
城市之外我爱乡村,都烧没了，怎么检测酒后驾车的？我只是纯好奇,0,2025-10-15 20:29:04,支持
传峯,不要命的人开上了要命的车。,0,2025-10-15 20:27:51,支持
炖冬菇,在座各位网友的问题最大[妙啊],0,2025-10-15 20:27:09,支持
核潜艇是一条鱼,且看且珍惜,0,2025-10-15 20:23:58,中立
风声和丽,https://b23.tv/BV1zg4vzmEeP,0,2025-10-15 20:19:01,中立
寂寞小处狼,[呲牙]是循环播放了吗,0,2025-10-15 20:11:06,中立
丶IOU,被烧死的吗,0,2025-10-15 20:08:11,中立
夜幕降临時,这门把手换谁来都救不了,0,2025-10-15 20:07:43,反对
灞八,我是坐汽车设备的，我看看怎么个事，哪里先起火的,0,2025-10-15 20:06:21,支持
香裆烩丸,第一,0,2025-10-15 20:00:40,中立
曲中人啦,结尾讲的真好: 安全是最大的豪华，但安全也不应该是奢侈品，安全是必需品！@问界汽车 @小米汽车,4,2025-10-15 23:44:56,反对
养鱼のMeow,把这个东西车里备一个，包里备一个，你永远不知道意外哪天会来，未雨绸缪，有备无患～,45,2025-10-15 20:04:11,反对
佚名即是无名,涉嫌≠就是，酒后还有一个量的问题。[灵魂出窍],0,2025-10-18 01:02:25,支持
GMYぃ,还是买华为,1,2025-10-16 11:18:30,反对
心譕,用户画像这一块，属于双向奔赴没毛病,9,2025-10-16 15:05:48,支持
三月花语,门把手这里稍微有点混淆，其他隐藏式门把手其实都是有机械冗余的，不过需要按下一边让另一边翘起来扣出来，好多人不知道该怎么操作，之前其他隐藏式门把手打不开主要是这个原因。 小米这个恶劣的是，做了个看起来有机械结构的半隐藏式门把手，实际上只有电动开关，所以和其他隐藏式门把手相比，别的是看起来没有机械开关其实是有的，小米是看起来有机械结构实际上是没有的，两种误导都是不对的，强烈支持恢复之前看起来是啥用起来就是啥的门把手。,2,2025-10-19 15:56:59,支持
你八点半下班,啥玩意，怎么这么亢奋,0,2025-10-18 23:30:27,中立
名字土土的黑暝威,我骑摩托车都遇到过甩尾[笑哭]，不太明显，冷汗都吓出来了[笑哭],10,2025-10-15 20:28:17,中立
早日退休兮,不明白，隐藏式门把手减少的那点风阻能省多少电呢[藏狐],35,2025-10-15 21:53:27,反对
霸占她的天下,粗粮这个车为啥不用机械门把手呢，这个不难吧，还就是单纯为了营销吸引眼球，或者是为了对标友商向他们看齐，别人弄我也弄,0,2025-10-16 11:04:58,中立
bili_525453627,在市区酒驾200公里每小时的人，没撞到别人自己走了，这不是好事吗？,1,2025-11-04 21:35:35,支持
吐槽吐槽闲的没事吐槽君,不靠谱的人买了不靠谱的车,0,2025-10-17 01:14:06,支持
南宁窃格瓦拉煮老友粉,搞笑限速[吃瓜][吃瓜]开四论的没一个会不超速，哔哔摩托限速，禁摩的时候四论叫得多起劲！ 说他们事实的时候，他们要么装死，要么嘴硬！ 乱停乱放，占道，堵车，堵高速，不遵守交规，超速！[滑稽][滑稽]唯一做不到的就是乱窜！ 论危险程度四论还意思在电动车面前叫？一说四论不让行让道，他们就会说:你撞的是铁皮，我撞的是车，我有保险你怕不怕？[辣眼睛][辣眼睛] 要是戴帽敢重罚，你们还有胆叫嚣？,1,2025-11-03 07:31:40,支持
黑色の小黑,总有些人以为自己开了个性能车，在市区里面飙车。你要真有那个实力，你怎么不去赛道里玩呢？赛道里开的快，我还夸你呢[微笑],0,2025-10-16 12:27:47,支持
老蜜蜂嗡嗡嗡,把事故的直接原因说成原因之一，这哥们也是有说话的艺术。[doge],0,2025-10-16 00:21:34,支持
清楚人Official,已取餐什么梗,0,2025-10-17 13:59:37,中立
marcolei8888,当年特斯拉也是这个待遇，只能说小米太火了,3,2025-10-16 21:56:45,支持
青草燎原,本年度最惨车主 酒驾保险不赔 舆论没有人同情 厂家静默 就连火化都是现场直播,0,2025-10-16 23:20:05,反对
reflexes,雷军：你教我做事？,1,2025-10-19 23:33:22,中立
南方南站北方,慌什么，小爱在里边儿抽烟呢,0,2025-11-10 01:30:59,中立
我不想修图,啥子，如果这个人开着个本田或者别的能有这么多的事[喜极而泣],0,2025-10-16 12:28:19,支持
顾叶柏,机械结构风味门把手害人不浅,0,2025-10-17 16:21:27,反对
你好请叫我橘座,小米是真火🔥🔥🔥[doge],0,2025-10-16 13:43:13,支持
howiezou,轮毂好看是第一位的，安全靠边站,1,2025-10-16 06:47:01,中立
ziyuliang,人美国电动自行车都限值电机功率，我们汽车却放飞自我[笑哭]，建议限值电机功率,0,2025-10-15 20:40:27,反对
夜雨寄北f,麦好炸,0,2025-11-09 22:37:01,中立
浮年sergen,su7好啊，su7得买啊🤗,0,2025-10-17 19:13:33,支持
上班就是为了下班Zzz,极氪,0,2025-10-16 10:42:06,中立
刺渭党,成炭了还能测出酒精…诺贝尔奖不给你都天理不容啊[doge],0,2025-10-16 12:06:09,反对
抽象捉辩专家,小米应该是目前最安全的，小米都这样了，其他车估计更不安全,1,2025-10-16 19:58:04,支持
数据模型a,如果不是急用还是别着急买电车，等国标和技术成熟再买,8,2025-10-16 11:14:03,反对
南无梁,今天武汉又一起报废的事故[辣眼睛],1,2025-10-17 23:31:39,支持
肉山大魔王同学,雷总亲身示范，两百公里瞬间刹停，没有问题 那用户体格可能不如雷总硬 我是不敢买小米，就怕除出了问题，车没错全是我的错,0,2025-10-17 16:38:27,支持
加拿大洋基本盘的mu,其实各家都不安全，只是小米的粉丝更极端,0,2025-10-19 18:02:53,中立
钓鱼的奥德彪,又来了？,0,2025-10-16 05:07:25,中立
戳那朵云彩,真正的科技应该是碰撞之后，即使车门变形，也能依靠电动机构自动顶开所有车门便于逃生，而不是平时搞个开关按来按去,2,2025-10-16 12:14:34,反对
霜倾露,前两天还有一个吉利的着火 也烧死了,1,2025-10-16 21:22:22,中立
西贝预制菜滑喂贴牌車,@机械official,0,2025-11-07 00:10:32,中立
小心风筝,三元锂电池的车都是炼人炉[吃瓜],1,2025-10-16 14:04:08,支持
你猜呢？,不能说当场死亡，应该是施救失败活活烧死,0,2025-10-16 09:56:30,反对
雪丸吃屁叭,超哥聊聊这个呢[doge],20,2025-10-18 22:42:16,中立
整个宇宙将为妳闪烁,为民除害,0,2025-10-16 12:54:19,支持
狐舒宝灬,人问题，不出事就不会完蛋,0,2025-10-18 03:17:40,支持
我想开飞机,你不怕投诉你下架,0,2025-11-08 20:08:28,中立
可颐BB,大字：方向盘、轮胎、车座等，统统都送给粉丝。小字：赠送礼品都不属于保修范畴。[滑稽],1,2025-10-16 23:51:11,反对
慕容程,虽说是人渣，但是醉驾罪不至死。,0,2025-10-16 16:59:42,反对
Roly-Play,[给心心]有没有可能检测到了酒驾，为了防止祸害别人。ai进行了紧急避险,1,2025-10-17 01:36:39,支持
从不骑小毛驴,所以害得是吉利系的，硬，好开，安全。,2,2025-10-15 23:35:04,中立
我要一杯热的凉白开,我对小米就一直不怎么感冒，但是开车出事故的太多了，小米出事故也正常啊，只不过小米关注度太高导致的而已,29,2025-10-16 03:40:40,支持
小马郭X,哦，烧焦了还能测酒驾么？,0,2025-10-15 22:12:39,支持
bili_329397277,超哥别讲小米啊，别冒这个险，我挺喜欢你的,3,2025-10-19 22:17:12,支持
芙芙没网瘾,时代是个轮回,0,2025-10-23 05:04:00,中立
莫子初justice,都有问题。人不该酒驾不该超速，车不应该打不开车门也不应该删帖删评论,0,2025-10-16 14:45:08,支持
弱势の深蓝,我认为这件事小米最好的解决办法是全面召回小米su7系列所有车型或者下架销售，并且对已经购买了该车的车主进行赔偿，以及对此事做出明确的公告，向着广大消费者道歉，并且以后能改正，现在小米反而自己在做高价低配了，已经脱离了原本的初衷，并且把很多事情都想简单了[辣眼睛],3,2025-10-16 21:45:33,支持
阳光彩虹小牛马1999,《最后一集》,0,2025-10-22 21:58:20,中立
梦想睡懒觉睡不着,烧死的，本来死的没那么惨，体内酒精过多，外面烧内脏也在烧,2,2025-10-16 06:55:13,中立
